"
Babtai
",Vyr. bibliotekininkė Danguolė Barkauskienė,"Adresas Sodų g. 3, Babtai, Babtų sen., LT-54334, Kauno r.",Tel. (8 37) 55 57 62,mailto:babtai@krsvbiblioteka.lt
"
Batniava
",Vyr. bibliotekininkė Danutė Mejarienė,"Adresas Mokyklos g. 4, Bubių k., Batniavos sen., LT-54188, Kauno r.",Tel. (8 37) 56 77 12,mailto:babtai@krsvbiblioteka.lt
Čekiškė,Vyr. bibliotekininkė Inesa Kristina Krasauskienė,"Adresas Amatininkų g. 3, Čekiškė, Čekiškės sen., LT-54274, Kauno r.",Tel. (8 37) 56 03 44,mailto:babtai@krsvbiblioteka.lt
Daugėliškės,Vyr. bibliotekininkė Nijolė Bačiūnienė,"Adresas Mokyklos g. 1, Daugėliškių k., Vilkijos apyl. sen., LT-54203, Kauno r.",Tel. (8 37) 44 01 69,mailto:babtai@krsvbiblioteka.lt
Domeikava,"Vyr. bibliotekininkės Dalė Launikaitytė, Jurgita Navickienė ir Eglė Štulaitė","Adresas Saulės g. 1, Domeikava, Domeikavos sen., LT-54362, Kauno r.",Tel. (8 37) 47 75 35,mailto:babtai@krsvbiblioteka.lt
Eigirgala,Vyr. bibliotekininkė Dalė Venslovienė,"Adresas Jaunystės g. 3, Voškonių k., Domeikavos sen., LT-54066, Kauno r.",Tel. (8 37) 55 41 69,mailto:babtai@krsvbiblioteka.lt
Ežerėlis,Vyr. bibliotekininkė Roma Mickevičienė,"Adresas Kauno g. 21, Ežerėlis, Ežerėlio sen., LT-53387, Kauno r.",Tel. (8 37) 53 42 94,mailto:babtai@krsvbiblioteka.lt
Ilgakiemis,Vyr. bibliotekininkė Vaida Raginskienė,"Adresas Pajiesio g. 1, Ilgakiemio k., Garliavos apyl. sen., LT-53288, Kauno r.",Tel. (8 37) 53 61 12,mailto:babtai@krsvbiblioteka.lt
Kačerginė,Vyr. bibliotekininkė Edita Birgiolienė,"Adresas J. Zikaro g. 6, Kačerginė, Kačerginės sen., LT-53088, Kauno r.",Tel. (8 37) 56 93 19,mailto:babtai@krsvbiblioteka.lt
Karmėlava,Vyr. bibliotekininkė Daiva Jankauskienė,"Adresas Vilniaus g. 65a, Karmėlava, Karmėlavos sen., LT-54449, Kauno r.",Tel. (8 37) 39 92 22,mailto:babtai@krsvbiblioteka.lt
Kulautuva,Vyr. bibliotekininkė Nijolė Laurynienė,"Adresas Poilsio g. 5, Kulautuva, Kulautuvos sen., LT-53093, Kauno r.",Tel. (8 37) 54 40 56,mailto:babtai@krsvbiblioteka.lt
Lapės,Vyr. bibliotekininkė Jolita Žebrauskienė,"Adresas A. Merkio g. 3, Lapės, Lapių sen., LT-54435, Kauno r.",Tel. (8 37) 47 02 49,mailto:babtai@krsvbiblioteka.lt
Linksmakalnis,Vyr. bibliotekininkė Jelena Pranciulienė,"Adresas Žalioji g. 14, Linksmakalnio k., Linksmakalnio sen., LT-53291, Kauno r.",Tel. (8 37) 56 62 18,mailto:babtai@krsvbiblioteka.lt
Liučiūnai,Vyr. bibliotekininkė Zina Gudaitienė,"Adresas Sodų g. 2, Liučiūnų k., Čekiškės sen., LT-54202, Kauno r.",Tel. (8 37) 56 85 25,mailto:babtai@krsvbiblioteka.lt
Neveronys,Vyr. bibliotekininkė Gražina Grybienė,"Adresas Šiltnamių g. 6, Neveronys, Neveronių sen., LT-54093, Kauno r.",Tel. (8 37) 37 50 30,mailto:babtai@krsvbiblioteka.lt
Padauguva,Vyr. bibliotekininkė Regina Jarienė,"Adresas Beržų g. 53, Padauguvos k., Vilkijos apyl. sen., LT-54214, Kauno r.",Tel. (8 37) 24 91 35,mailto:babtai@krsvbiblioteka.lt
Pagynė,Vyr. bibliotekininkė Gabija Ščiukauskaitė,"Adresas Pagynės 50-čio g. 4, Pagynės k., Babtų pšt., LT-54323, Kauno r.",Tel. (8 37) 53 32 24,mailto:babtai@krsvbiblioteka.lt
Panevėžiukas,Vyr. bibliotekininkė Lina Ambraziūnaitė,"Adresas Kranto g. 2, Panevėžiukas, Babtų sen., LT-54285, Kauno r.",Tel. (8 37) 44 02 56,mailto:babtai@krsvbiblioteka.lt
Piliuona,Vyr. bibliotekininkė Marytė Naunčikienė,"Adresas T. Masiulio g. 4, Piliuonos k, Taurakiemio sen., LT-53185, Kauno r.",Tel. (8 37) 56 88 74,mailto:babtai@krsvbiblioteka.lt
Ramučiai,Vyr. bibliotekininkė Vida Stavavojienė,"Adresas Centrinė g. 26A, Ramučių k., Karmėlavos sen., LT-54464, Kauno r.",Tel. (8 37) 43 23 41,mailto:babtai@krsvbiblioteka.lt
Raudondvaris,Vyr. bibliotekininkės Nijolė Glušauskienė ir Vanda Žiūkienė,"Adresas Instituto g. 1a, Raudondvario k., Raudondvario sen., LT-54130, Kauno r.",Tel. (8 37) 54 95 17,mailto:babtai@krsvbiblioteka.lt
Ringaudai,Vyr. bibliotekininkės Vilija Mitkuvienė ir Diana Šarakauskaitė,"Adresas Gėlių g. 2, Ringaudai, Ringaudų sen., LT-53331, Kauno r.",Tel. (8 37) 56 32 78,mailto:babtai@krsvbiblioteka.lt
Rokai,Vyr. bibliotekininkė Irena Petriškienė,"Adresas: Nemuno g. 14, Rokų k., Rokų sen., LT-46159, Kauno r.",Tel. (8 37) 43 60 28,mailto:babtai@krsvbiblioteka.lt
Saulėtekis,Vyr. bibliotekininkė Gutijera Steponaitienė,"Adresas Saulėtekių g. 89, Akuotų k., Vilkijos sen., LT-54213, Kauno r.",Tel. (8 37) 47 81 44,mailto:babtai@krsvbiblioteka.lt
Sitkūnai,Vyr. bibliotekininkė Rita Bacevičienė,"Adresas Sausio 13-osios g. 4, Sitkūnų k., Babtų sen., LT-54336, Kauno r.",Tel. (8 37) 29 85 57,mailto:babtai@krsvbiblioteka.lt
Šlienava,Vyr. bibliotekininkė Elena Grušienė,"Adresas J. Biliūno g. 106, Šlienavos k., Samylų sen., LT-53144, Kauno r.",Tel. (8 37) 43 02 47,mailto:babtai@krsvbiblioteka.lt
Užliedžiai,Vyr. bibliotekininkė Virginija Stancelienė,"Adresas Ledos g. 2, Užliedžiai, Užliedžių sen., LT-54303, Kauno r.",Tel. (8 37) 56 72 47,mailto:babtai@krsvbiblioteka.lt
Vandžiogala,Vyr. bibliotekininkė Audronė Montvydienė,"Adresas Parko g. 8, Vandžiogala, Vandžiogalos sen., LT-54388, Kauno r.",Tel. (8 37) 52 42 17,mailto:babtai@krsvbiblioteka.lt
Vilkija,Vyr. bibliotekininkės Zita Ruzgienė ir Jolanta Bačėnienė,"Adresas Bažnyčios g. 23, Vilkija, Vilkijos sen., LT-54227, Kauno r.",Tel. (8 37) 55 63 47,mailto:babtai@krsvbiblioteka.lt
Zapyškis,Vyr. bibliotekininkė Elvina Čirkova,"Adresas Šviesos g. 18, Zapyškis, Zapyškio ptš., LT-53416, Kauno r.",Tel. (8 37) 54 22 23,mailto:babtai@krsvbiblioteka.lt
