Kauno miesto savivaldybės Vinco Kudirkos viešoji biblioteka - įstaigos kodas 290145360,,
Padalinys,Adresas,Darbo laikas
Dokumentų komplektavimo ir tvarkymo skyrius ir šio skyriaus Saugyklos ir mainų poskyris,Savanorių per. 380,
Suaugusių vartotojų aptarnavimo skyrius,Laisvės al. 57,"I-V - 9-19, IV - 10-16"
"Jaunimo, meno ir muzikos skyrius",A. Mapu g. 18,"I-V - 9-19, IV - 10-16"
Vaikų literatūros skyrius,V. Krėvės per. 97A,"I-V - 9-19, IV - 10-16"
Informacijos ir bibliotekininkystės skyrius,Laisvės al. 57,
Aleksoto padalinys,Veiverių g. 43,"I-V - 9-19, IV - 9-15"
"""Aušros"" padalinys",Aušros g. 37,"I-V - 9-19, IV - 10-16"
"""Berželio"" padalinys",Taikos per. 113B,"I-V - 9-19, IV - 10-16"
Dainavos padalinys,Savanorių per. 377,"I-V - 9-19, IV - 9-15"
Eigulių padalinys,Šiaurės per. 95,"I-V - 9-19, IV - 10-16"
Girstupio padalinys,Kovo 11-osios g. 24,"I-V - 9-19, IV - 9-15"
Kalniečių padalinys,Savanorių per. 226,"I-V - 9-19, IV - 10-16"
Lampėdžių padalinys,Romuvos g. 28,"II, III, IV - 10-18"
Neries padalinys,Varnių g. 36,"I-V - 9-19, IV - 9-15"
Palemono padalinys,Marių g. 37,"I-V - 9-19, IV - 10-16"
Panemunės padalinys,Vaidilos g. 27,"I-V - 9-19, IV - 9-15 Nuo birželio 12 iki rugsėjo 16 d. I-V - 10-18"
Petrašiūnų padalinys,Ekskavatorininkų g. 8,"I-V - 10-19, IV - 10-16 Nuo birželio 19 iki rugsėjo 9 d. I-V - 10-18"
Romainių padalinys,Chodkevičių g. 6,I-V - 9-19
"""Šaltinio"" padalinys",Raudondvario pl. 230,"I-V - 9-19, IV - 10-16"
Šančių padalinys,Sandėlių g. 7,"I-V - 9-19, IV - 10-16"
Šilainių padalinys,Baltų per. 81,"I-V - 9-19, IV - 9-15"
Tirkiliškių padalinys,Tirkiliškių g. 51,I-V - 9-19 Nuo birželio 8  iki rugsėjo 15 d. I-V - 10-18
Vingytės padalinys,J. Borutos g. 23,I-V - 11-19
Parko padalinys,P. Lukšio g. 58,"I-V - 9-19, IV - 9-15"
Z. Kuzmickio padalinys,Raseinių g. 26,"I-V - 9-19, IV - 10-16"
